jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
137	21	0.85	16.6875	1.4536148350961	0	0	16.6875	1.4536148350961	83.7	380	16.6875	16.6875	16.6875	10	1	-999	-999
137	21.5	0.85	16.6666666666667	1.4759706886423	0	0	16.6666666666667	1.4759706886423	83.7	380	16.6666666666667	16.6666666666667	16.6666666666667	10	1	-999	-999
137	22	0.85	16.6875	1.49911979896886	0	0	16.6875	1.49911979896886	83.7	380	16.6875	16.6875	16.6875	10	1	-999	-999
137	22.5	0.85	16.6041666666667	1.50250849976103	0	0	16.6041666666667	1.50250849976103	83.7	380	16.6041666666667	16.6041666666667	16.6041666666667	10	1	-999	-999
137	23	0.85	16.7083333333333	1.51266366477146	0	0	16.7083333333333	1.51266366477146	83.7	380	16.7083333333333	16.7083333333333	16.7083333333333	10	1	-999	-999
137	23.5	0.85	16.75	1.52067157654481	0	0	16.75	1.52067157654481	83.7	380	16.75	16.75	16.75	10	1	-999	-999
138	0	0.85	16.1666666666667	1.50114657165334	0	0	16.1666666666667	1.50114657165334	83.7	380	16.1666666666667	16.1666666666667	16.1666666666667	10	1	-999	-999
138	0.5	0.85	15.9583333333333	1.48977316405141	0	0	15.9583333333333	1.48977316405141	83.7	380	15.9583333333333	15.9583333333333	15.9583333333333	10	1	-999	-999
138	1	0.85	15.9375	1.4986391348371	0	0	15.9375	1.4986391348371	83.7	380	15.9375	15.9375	15.9375	10	1	-999	-999
138	1.5	0.85	16.0208333333333	1.50815800434847	0	0	16.0208333333333	1.50815800434847	83.7	380	16.0208333333333	16.0208333333333	16.0208333333333	10	1	-999	-999
138	2	0.85	15.8958333333333	1.50543201973992	0	0	15.8958333333333	1.50543201973992	83.7	380	15.8958333333333	15.8958333333333	15.8958333333333	10	1	-999	-999
138	2.5	0.85	15.875	1.50974875962251	0	0	15.875	1.50974875962251	83.7	380	15.875	15.875	15.875	10	1	-999	-999
138	3	0.85	15.875	1.51161961906155	0	0	15.875	1.51161961906155	83.7	380	15.875	15.875	15.875	10	1	-999	-999
138	3.5	0.85	15.8958333333333	1.52341611876122	0	0	15.8958333333333	1.52341611876122	83.7	380	15.8958333333333	15.8958333333333	15.8958333333333	10	1	-999	-999
138	4	0.85	15.75	1.52889048529935	0	0	15.75	1.52889048529935	83.7	380	15.75	15.75	15.75	10	1	-999	-999
138	4.5	0.85	16.0416666666667	1.54803618617822	0	0	16.0416666666667	1.54803618617822	83.7	380	16.0416666666667	16.0416666666667	16.0416666666667	10	1	-999	-999
138	5	0.85	16.6458333333333	1.58451795437311	0	0	16.6458333333333	1.58451795437311	83.7	380	16.6458333333333	16.6458333333333	16.6458333333333	10	1	-999	-999
138	5.5	0.85	17.5	1.63865178266708	0	0	17.5	1.63865178266708	83.7	380	17.5	17.5	17.5	10	1	-999	-999
138	6	0.85	17.7083333333333	1.66388389100533	0	300	17.7083333333333	1.66388389100533	83.7	380	17.7083333333333	17.7083333333333	17.7083333333333	10	1	-999	-999
138	6.5	0.85	18	1.69158529956007	0	300	18	1.69158529956007	83.7	380	18	18	18	10	1	-999	-999
138	7	0.85	19.7916666666667	1.78913877795944	0	300	19.7916666666667	1.78913877795944	83.7	380	19.7916666666667	19.7916666666667	19.7916666666667	10	1	-999	-999
138	7.5	0.85	20.25	1.81241556360149	0	300	20.25	1.81241556360149	83.7	380	20.25	20.25	20.25	10	1	-999	-999
138	8	0.85	20.9791666666667	1.84024951378789	0	300	20.9791666666667	1.84024951378789	83.7	380	20.9791666666667	20.9791666666667	20.9791666666667	10	1	-999	-999
138	8.5	0.85	21.25	1.84436579212787	0	300	21.25	1.84436579212787	83.7	380	21.25	21.25	21.25	10	1	-999	-999
138	9	0.85	20.2708333333333	1.77730449995166	0	300	20.2708333333333	1.77730449995166	83.7	380	20.2708333333333	20.2708333333333	20.2708333333333	10	1	-999	-999
138	9.5	0.85	20.1875	1.82994256458484	0	300	20.1875	1.82994256458484	83.7	380	20.1875	20.1875	20.1875	10	1	-999	-999
138	10	0.85	21.25	1.91944841368561	0	300	21.25	1.91944841368561	83.7	380	21.25	21.25	21.25	10	1	-999	-999
138	10.5	0.85	23.5208333333333	2.04924086917673	0	300	23.5208333333333	2.04924086917673	83.7	380	23.5208333333333	23.5208333333333	23.5208333333333	10	1	-999	-999
138	11	0.85	25	2.1833708543518	0	300	25	2.1833708543518	83.7	380	25	25	25	10	1	-999	-999
138	11.5	0.85	25.0416666666667	2.14566189021299	0	300	25.0416666666667	2.14566189021299	83.7	380	25.0416666666667	25.0416666666667	25.0416666666667	10	1	-999	-999
138	12	0.85	22.875	1.99064572329575	0	300	22.875	1.99064572329575	83.7	380	22.875	22.875	22.875	10	1	-999	-999
138	12.5	0.85	21.9583333333333	1.92880945657491	0	300	21.9583333333333	1.92880945657491	83.7	380	21.9583333333333	21.9583333333333	21.9583333333333	10	1	-999	-999
138	13	0.85	21.3125	1.9108075156505	0	300	21.3125	1.9108075156505	83.7	380	21.3125	21.3125	21.3125	10	1	-999	-999
138	13.5	0.85	21.1458333333333	1.92682348113809	0	300	21.1458333333333	1.92682348113809	83.7	380	21.1458333333333	21.1458333333333	21.1458333333333	10	1	-999	-999
138	14	0.85	21.125	1.93570709895341	0	300	21.125	1.93570709895341	83.7	380	21.125	21.125	21.125	10	1	-999	-999
138	14.5	0.85	20.9583333333333	1.92546423146849	0	300	20.9583333333333	1.92546423146849	83.7	380	20.9583333333333	20.9583333333333	20.9583333333333	10	1	-999	-999
138	15	0.85	22.0625	1.97761856710376	0	300	22.0625	1.97761856710376	83.7	380	22.0625	22.0625	22.0625	10	1	-999	-999
138	15.5	0.85	21.6666666666667	1.93845865082093	0	300	21.6666666666667	1.93845865082093	83.7	380	21.6666666666667	21.6666666666667	21.6666666666667	10	1	-999	-999
138	16	0.85	21.3125	1.85460845528782	0	300	21.3125	1.85460845528782	83.7	380	21.3125	21.3125	21.3125	10	1	-999	-999
138	16.5	0.85	22.0208333333333	1.79132028282588	0	300	22.0208333333333	1.79132028282588	83.7	380	22.0208333333333	22.0208333333333	22.0208333333333	10	1	-999	-999
138	17	0.85	20.7291666666667	1.65087672285614	5	300	20.7291666666667	1.65087672285614	83.7	380	20.7291666666667	20.7291666666667	20.7291666666667	10	1	-999	-999
138	17.5	0.85	19.1666666666667	1.55920924327794	0	300	19.1666666666667	1.55920924327794	83.7	380	19.1666666666667	19.1666666666667	19.1666666666667	10	1	-999	-999
138	18	0.85	18.1458333333333	1.52174616789593	0	300	18.1458333333333	1.52174616789593	83.7	380	18.1458333333333	18.1458333333333	18.1458333333333	10	1	-999	-999
138	18.5	0.85	17.6875	1.50286691911308	0	300	17.6875	1.50286691911308	83.7	380	17.6875	17.6875	17.6875	10	1	-999	-999
138	19	0.85	17.7083333333333	1.55716050831552	0	300	17.7083333333333	1.55716050831552	83.7	380	17.7083333333333	17.7083333333333	17.7083333333333	10	1	-999	-999
138	19.5	0.85	17.125	1.50738174246753	0	300	17.125	1.50738174246753	83.7	380	17.125	17.125	17.125	10	1	-999	-999
138	20	0.85	16.7708333333333	1.49092516447235	0	0	16.7708333333333	1.49092516447235	83.7	380	16.7708333333333	16.7708333333333	16.7708333333333	10	1	-999	-999
138	20.5	0.85	16.5208333333333	1.48167404263272	0	0	16.5208333333333	1.48167404263272	83.7	380	16.5208333333333	16.5208333333333	16.5208333333333	10	1	-999	-999
138	21	0.85	16.3541666666667	1.48092141852469	0	0	16.3541666666667	1.48092141852469	83.7	380	16.3541666666667	16.3541666666667	16.3541666666667	10	1	-999	-999
138	21.5	0.85	16.2708333333333	1.4852267183543	0	0	16.2708333333333	1.4852267183543	83.7	380	16.2708333333333	16.2708333333333	16.2708333333333	10	1	-999	-999
138	22	0.85	16.2916666666667	1.49995724283865	0	0	16.2916666666667	1.49995724283865	83.7	380	16.2916666666667	16.2916666666667	16.2916666666667	10	1	-999	-999
138	22.5	0.85	16.125	1.50102332224894	0	0	16.125	1.50102332224894	83.7	380	16.125	16.125	16.125	10	1	-999	-999
138	23	0.85	16.1041666666667	1.49858738863802	0	0	16.1041666666667	1.49858738863802	83.7	380	16.1041666666667	16.1041666666667	16.1041666666667	10	1	-999	-999
138	23.5	0.85	16.1458333333333	1.50879409764157	0	0	16.1458333333333	1.50879409764157	83.7	380	16.1458333333333	16.1458333333333	16.1458333333333	10	1	-999	-999
139	0	0.85	15.7916666666667	1.51535259315573	0	0	15.7916666666667	1.51535259315573	83.7	380	15.7916666666667	15.7916666666667	15.7916666666667	10	1	-999	-999
139	0.5	0.85	15.4791666666667	1.48196309157626	0	0	15.4791666666667	1.48196309157626	83.7	380	15.4791666666667	15.4791666666667	15.4791666666667	10	1	-999	-999
139	1	0.85	15.5416666666667	1.50093517413368	0	0	15.5416666666667	1.50093517413368	83.7	380	15.5416666666667	15.5416666666667	15.5416666666667	10	1	-999	-999
139	1.5	0.85	15.5625	1.51156996034969	0	0	15.5625	1.51156996034969	83.7	380	15.5625	15.5625	15.5625	10	1	-999	-999
139	2	0.85	15.5625	1.51175335447456	0	0	15.5625	1.51175335447456	83.7	380	15.5625	15.5625	15.5625	10	1	-999	-999
139	2.5	0.85	15.4583333333333	1.51587110281263	0	0	15.4583333333333	1.51587110281263	83.7	380	15.4583333333333	15.4583333333333	15.4583333333333	10	1	-999	-999
139	3	0.85	15.2916666666667	1.5161961719245	0	0	15.2916666666667	1.5161961719245	83.7	380	15.2916666666667	15.2916666666667	15.2916666666667	10	1	-999	-999
139	3.5	0.85	15.5625	1.52697506683838	0	0	15.5625	1.52697506683838	83.7	380	15.5625	15.5625	15.5625	10	1	-999	-999
139	4	0.85	15.4375	1.5229433189895	0	0	15.4375	1.5229433189895	83.7	380	15.4375	15.4375	15.4375	10	1	-999	-999
